stage_id,well_id,stage_number,start_datetime,duration_min,fluid_type,proppant_type,status,cluster_count,perforation_start_m,perforation_end_m
STG-00001,WL-001,1,2021-09-16 00:00,145.0,Linear Gel,100 Mesh Sand,Completed,4,100.0,184.0
STG-00002,WL-001,2,2021-09-16 03:10,185.0,Crosslinked Gel,100 Mesh Sand,Completed,5,184.0,268.0
STG-00003,WL-001,3,2021-09-16 07:08,104.0,Linear Gel,40/70 Sand,Completed,7,268.0,352.0
STG-00004,WL-001,4,2021-09-16 10:39,138.0,Linear Gel,40/70 Sand,Completed,4,352.0,436.0
STG-00005,WL-001,5,2021-09-16 17:19,96.0,Slickwater,100 Mesh Sand,Completed,8,436.0,520.0
STG-00006,WL-001,6,2021-09-17 03:32,192.0,Slickwater,40/70 Sand,Completed,5,520.0,604.0
STG-00007,WL-001,7,2021-09-17 01:18,167.0,Linear Gel,40/70 Sand,Completed,7,604.0,688.0
STG-00008,WL-001,8,2021-09-17 15:57,187.0,Hybrid,20/40 RCP,Completed,4,688.0,772.0
STG-00009,WL-001,9,2021-09-17 23:38,194.0,Crosslinked Gel,20/40 RCP,Completed,6,772.0,856.0
STG-00010,WL-001,10,2021-09-17 14:25,231.0,Linear Gel,40/70 Sand,Completed,5,856.0,940.0
STG-00011,WL-001,11,2021-09-17 14:54,141.0,Slickwater,100 Mesh Sand,Completed,6,940.0,1024.0
STG-00012,WL-001,12,2021-09-17 10:53,229.0,Linear Gel,40/70 Sand,Completed,4,1024.0,1108.0
STG-00013,WL-001,13,2021-09-18 22:35,129.0,Slickwater,40/70 Sand,Completed,4,1108.0,1192.0
STG-00014,WL-001,14,2021-09-18 14:12,213.0,Hybrid,20/40 RCP,Screen-out,4,1192.0,1276.0
STG-00015,WL-001,15,2021-09-19 09:32,169.0,Hybrid,100 Mesh Sand,Completed,8,1276.0,1361.0
STG-00016,WL-001,16,2021-09-18 00:41,104.0,Crosslinked Gel,30/50 Ceramic,Completed,5,1361.0,1445.0
STG-00017,WL-001,17,2021-09-19 08:08,225.0,Crosslinked Gel,40/70 Sand,Completed,6,1445.0,1529.0
STG-00018,WL-001,18,2021-09-18 23:11,141.0,Crosslinked Gel,20/40 RCP,Completed,6,1529.0,1613.0
