param_id,stage_id,well_id,treating_pressure_psi,isip_psi,frac_closure_pressure_psi,net_pressure_psi,slurry_rate_bpm,max_rate_bpm,proppant_concentration_lb_gal,total_fluid_mgal,total_proppant_klb,fluid_efficiency_pct,breakdown_pressure_psi,friction_pressure_psi,bottomhole_pressure_psi
PRM-00000,STG-00001,WL-001,6548.0,3647.0,3234.0,3314.0,68.0,68.6,2.28,331.3,284.1,39.5,7382.0,1628.0,8883.0
PRM-00001,STG-00002,WL-001,8814.0,3986.0,3438.0,5376.0,75.2,79.9,1.17,467.4,183.6,54.7,9789.0,2050.0,10909.0
PRM-00002,STG-00003,WL-001,7485.0,4450.0,4127.0,3358.0,80.8,90.2,1.86,282.3,293.2,55.9,8955.0,1401.0,9002.0
PRM-00003,STG-00004,WL-001,7290.0,4123.0,3512.0,3778.0,92.3,96.4,0.74,428.0,275.9,65.9,8221.0,1757.0,9162.0
PRM-00004,STG-00005,WL-001,7632.0,4404.0,4087.0,3545.0,60.9,65.1,2.3,196.4,469.9,50.9,8360.0,1305.0,9360.0
PRM-00005,STG-00006,WL-001,7541.0,3672.0,3142.0,4399.0,79.4,90.8,1.99,512.2,353.9,72.7,8806.0,2786.0,9585.0
PRM-00006,STG-00007,WL-001,6492.0,3112.0,2825.0,3667.0,65.6,67.0,1.74,368.1,469.2,67.4,7436.0,1821.0,8666.0
PRM-00007,STG-00008,WL-001,7007.0,3426.0,3073.0,3934.0,73.8,83.7,2.33,463.7,285.2,63.3,7423.0,1436.0,8515.0
PRM-00008,STG-00009,WL-001,6832.0,3212.0,2891.0,3941.0,98.3,108.3,1.56,640.8,267.0,38.0,7455.0,2491.0,8792.0
PRM-00009,STG-00010,WL-001,9172.0,4879.0,4365.0,4807.0,77.3,79.7,0.59,600.0,238.5,37.0,10791.0,2770.0,11465.0
PRM-00010,STG-00011,WL-001,7157.0,4252.0,3917.0,3240.0,67.9,77.9,2.4,321.7,549.2,57.8,7793.0,1899.0,9251.0
