pdat_id,stage_id,well_id,test_type,closure_pressure_psi,reservoir_pressure_psi,permeability_nd,fracture_gradient_psi_ft,skin_factor,leakoff_coefficient_Cw,contact_half_length_m,fracture_height_m,pdat_analyst,analysis_date,formation,aspect_ratio
PDT-00000,STG-00001,WL-001,Minifrac,4677.0,5641.0,0.034367,0.831,-2.39,0.00313,83.0,60.0,R. Perez,2021-09-16,Organico,0.723
PDT-00001,STG-00002,WL-001,Minifrac,5016.0,5224.0,0.01028,0.674,-1.42,0.00086,239.0,33.0,R. Perez,2021-09-16,Organico,0.138
PDT-00002,STG-00003,WL-001,Minifrac,5979.0,3878.0,0.028712,0.818,0.06,0.00109,240.0,91.0,S. Dottori,2021-09-16,Organico,0.379
PDT-00003,STG-00004,WL-001,StepRate,6766.0,6096.0,0.041249,0.799,-0.57,0.00355,298.0,90.0,M. Gonzalez,2021-09-16,Organico,0.302
PDT-00004,STG-00005,WL-001,Minifrac,6871.0,4584.0,0.02277,0.789,0.82,0.0024,321.0,41.0,S. Dottori,2021-09-16,Organico,0.128
PDT-00005,STG-00006,WL-001,Minifrac,5212.0,5004.0,0.015673,0.704,-1.98,0.0022,251.0,103.0,R. Perez,2021-09-17,Organico,0.41
PDT-00006,STG-00007,WL-001,DFIT,5893.0,3989.0,0.013504,0.763,0.65,0.00302,333.0,103.0,S. Dottori,2021-09-17,Organico,0.309
PDT-00007,STG-00008,WL-001,DFIT,5068.0,4486.0,0.025254,0.812,0.21,0.00316,226.0,68.0,M. Gonzalez,2021-09-17,Organico,0.301
PDT-00008,STG-00009,WL-001,Minifrac,6680.0,6418.0,0.017133,0.809,0.96,0.0033,174.0,86.0,R. Perez,2021-09-17,Organico,0.494
PDT-00009,STG-00010,WL-001,Minifrac,6048.0,6087.0,0.008587,0.723,-0.9,0.00177,344.0,54.0,S. Dottori,2021-09-17,Organico,0.157
PDT-00010,STG-00011,WL-001,DFIT,4656.0,6224.0,0.001994,0.841,-0.35,0.00474,134.0,34.0,R. Perez,2021-09-17,Organico,0.254
PDT-00011,STG-00012,WL-001,DFIT,6718.0,5868.0,0.009927,0.774,0.56,0.0045,206.0,111.0,M. Gonzalez,2021-09-17,Organico,0.539
PDT-00012,STG-00013,WL-001,StepRate,4917.0,4522.0,0.003255,0.809,-0.65,0.00192,124.0,34.0,M. Gonzalez,2021-09-18,Organico,0.274
PDT-00013,STG-00014,WL-001,DFIT,5422.0,4325.0,0.022426,0.775,-4.03,0.00488,200.0,115.0,M. Gonzalez,2021-09-18,Organico,0.575
PDT-00014,STG-00015,WL-001,DFIT,4800.0,6150.0,0.046978,0.666,-2.56,0.00481,102.0,88.0,R. Perez,2021-09-19,Organico,0.863
PDT-00015,STG-00016,WL-001,DFIT,6636.0,5098.0,0.031073,0.666,-1.52,0.00364,238.0,70.0,M. Gonzalez,2021-09-18,Organico,0.294
PDT-00016,STG-00017,WL-001,Minifrac,6214.0,5242.0,0.011924,0.799,-1.69,0.00183,297.0,93.0,S. Dottori,2021-09-19,Organico,0.313
PDT-00017,STG-00018,WL-001,DFIT,6123.0,4459.0,0.045189,0.67,-0.41,0.00406,176.0,116.0,S. Dottori,2021-09-18,Organico,0.659
PDT-00018,STG-00019,WL-001,Minifrac,6527.0,4694.0,0.008756,0.692,-0.67,0.00161,317.0,39.0,R. Perez,2021-09-20,Organico,0.123
PDT-00019,STG-00020,WL-001,DFIT,5444.0,4656.0,0.026849,0.782,-0.08,0.00112,299.0,91.0,S. Dottori,2021-09-19,Organico,0.304
PDT-00020,STG-00021,WL-001,DFIT,6735.0,6138.0,0.021977,0.726,1.53,0.00372,331.0,102.0,S. Dottori,2021-09-19,Organico,0.308
PDT-00021,STG-00022,WL-001,StepRate,5780.0,5500.0,0.033573,0.722,0.23,0.00442,185.0,89.0,S. Dottori,2021-09-20,Organico,0.481
PDT-00022,STG-00023,WL-001,DFIT,4554.0,5931.0,0.015923,0.821,0.62,0.00348,168.0,76.0,M. Gonzalez,2021-09-19,Organico,0.452
PDT-00023,STG-00024,WL-001,DFIT,6620.0,5105.0,0.041653,0.671,-4.01,0.0049,239.0,76.0,R. Perez,2021-09-19,Organico,0.318
PDT-00024,STG-00025,WL-001,DFIT,6400.0,4358.0,0.034802,0.686,-4.36,0.00163,157.0,88.0,M. Gonzalez,2021-09-19,Organico,0.561
PDT-00025,STG-00026,WL-001,DFIT,4578.0,5186.0,0.004318,0.744,1.53,0.00374,101.0,50.0,S. Dottori,2021-09-20,Organico,0.495
PDT-00026,STG-00027,WL-001,DFIT,4560.0,6296.0,0.000627,0.766,1.73,0.00157,149.0,30.0,R. Perez,2021-09-21,Organico,0.201
PDT-00027,STG-00028,WL-001,Minifrac,6039.0,4668.0,0.028555,0.697,-4.0,0.00218,280.0,112.0,M. Gonzalez,2021-09-22,Organico,0.4
PDT-00028,STG-00029,WL-001,Minifrac,4758.0,6242.0,0.028473,0.806,0.56,0.00165,223.0,116.0,R. Perez,2021-09-22,Organico,0.52
PDT-00029,STG-00030,WL-002,StepRate,5560.0,4583.0,0.026638,0.81,-2.1799999999999997,0.0028899999999999998,247.24999999999997,78.3,S. Dottori,2018-12-19,Loma Amarilla,0.317
PDT-00030,STG-00031,WL-002,DFIT,4842.0,4572.0,0.012742,0.773,-2.31,0.0005695,102.35,34.2,M. Gonzalez,2018-12-19,Loma Amarilla,0.334
PDT-00031,STG-00032,WL-002,Minifrac,6077.0,4953.0,0.045116,0.78,-2.71,0.000748,181.7,71.10000000000001,R. Perez,2018-12-19,Loma Amarilla,0.391
PDT-00032,STG-00033,WL-002,DFIT,6377.0,4402.0,0.049716,0.684,0.020000000000000018,0.0031195,192.04999999999998,54.0,R. Perez,2018-12-19,Loma Amarilla,0.281
PDT-00033,STG-00034,WL-002,StepRate,5465.0,3965.0,0.018784,0.691,1.07,0.003094,108.1,50.4,S. Dottori,2018-12-19,Loma Amarilla,0.466
PDT-00034,STG-00035,WL-002,Minifrac,6250.0,6388.0,0.029863,0.777,0.43999999999999995,0.0029835,319.7,45.9,M. Gonzalez,2018-12-19,Loma Amarilla,0.144
PDT-00035,STG-00036,WL-002,DFIT,6882.0,5342.0,0.015402,0.726,-0.5,0.0018275,162.14999999999998,35.1,R. Perez,2018-12-20,Loma Amarilla,0.216
PDT-00036,STG-00037,WL-002,DFIT,4674.0,4953.0,0.002075,0.843,-1.1099999999999999,0.0010115,146.04999999999998,72.9,R. Perez,2018-12-20,Loma Amarilla,0.499
PDT-00037,STG-00038,WL-002,Minifrac,5177.0,4954.0,0.011996,0.651,-4.18,0.00044199999999999996,315.09999999999997,61.2,S. Dottori,2018-12-20,Loma Amarilla,0.194
PDT-00038,STG-00039,WL-002,Minifrac,5432.0,5095.0,0.009932,0.786,-3.95,0.0004335,381.79999999999995,52.2,S. Dottori,2018-12-20,Loma Amarilla,0.137
PDT-00039,STG-00040,WL-002,StepRate,4502.0,4332.0,0.009501,0.793,-3.03,0.002176,138.0,59.4,M. Gonzalez,2018-12-21,Loma Amarilla,0.43
PDT-00041,STG-00042,WL-002,DFIT,4565.0,6191.0,0.044312,0.692,-4.359999999999999,0.002516,287.5,104.4,S. Dottori,2018-12-21,Loma Amarilla,0.363
PDT-00042,STG-00043,WL-002,Minifrac,5670.0,5799.0,0.041642,0.8,-4.49,0.0028049999999999998,117.3,83.7,R. Perez,2018-12-22,Loma Amarilla,0.714
PDT-00044,STG-00045,WL-002,DFIT,6681.0,4998.0,0.012019,0.703,-3.82,0.001173,353.04999999999995,40.5,S. Dottori,2018-12-22,Loma Amarilla,0.115
PDT-00045,STG-00046,WL-002,DFIT,5921.0,5955.0,0.026324,0.668,-1.42,0.0027624999999999998,318.54999999999995,89.10000000000001,R. Perez,2018-12-22,Loma Amarilla,0.28
PDT-00046,STG-00047,WL-002,DFIT,4921.0,4119.0,0.036284,0.761,-1.82,0.0013939999999999998,140.29999999999998,44.1,R. Perez,2018-12-22,Loma Amarilla,0.314
PDT-00047,STG-00048,WL-002,Minifrac,6015.0,3826.0,0.039032,0.814,1.26,0.0011135,277.15,61.2,R. Perez,2018-12-22,Loma Amarilla,0.221
PDT-00048,STG-00049,WL-002,Minifrac,6332.0,4335.0,0.010983,0.776,-2.82,0.0022695,351.9,67.5,M. Gonzalez,2018-12-21,Loma Amarilla,0.192
PDT-00049,STG-00050,WL-002,DFIT,6747.0,4279.0,0.014688,0.76,-3.27,0.0020485,244.95,96.3,R. Perez,2018-12-22,Loma Amarilla,0.393
PDT-00050,STG-00051,WL-002,Minifrac,5431.0,4017.0,0.018147,0.686,1.23,0.0031620000000000003,324.29999999999995,62.1,S. Dottori,2018-12-21,Loma Amarilla,0.191
PDT-00051,STG-00052,WL-002,DFIT,6484.0,4675.0,0.025145,0.775,-3.87,0.0031704999999999997,262.2,63.0,M. Gonzalez,2018-12-23,Loma Amarilla,0.24
PDT-00052,STG-00053,WL-002,DFIT,5667.0,4340.0,0.027954,0.703,-5.24,0.0035445,132.25,56.7,S. Dottori,2018-12-22,Loma Amarilla,0.429
PDT-00053,STG-00054,WL-002,Minifrac,4655.0,4043.0,0.041488,0.662,-4.3100000000000005,0.003468,92.0,49.5,S. Dottori,2018-12-23,Loma Amarilla,0.538
